author|Eco, Umberto
translator|
title|Der Begriff als Zeichen für die Sache
editor|
in|Zeichen
location|
publisher|
year|1973
pages|135
tag|wahrnehmung + abduktion + feld + erkenntnis + designation + kode
significance|primary
quote|Wenn jemand Geheimschriften entziffert, mag er zwar blitzartige Erleuchtungen haben; aber diese kommen nicht von ungefährt, sondern haben einen mühsamen Prozeß der Hypothesenbildung und nachfolgenden Kontrolle zur Grundlage. [...] Die Wahrnehmung als Abduktion entspricht dieser transaktionalen Definition der Erkenntnis; zugleich aber stellt sie einen Prozeß dar, der aktuelle Wahrnehmung und Namensgebung in einem ist.
dateAdded|20180601_0000
