author|Koolhaas, Rem
translator|
title|Field Trip
editor|
in|SMLXL
location|
publisher|
year|1995
pages|228
tag|void + anwesenheit + abwesenheit + mauer + nichts + funktion + effizienz + subtilität + flexibilität + abwesenheit
significance|primary
quote|"For me, it was a first demonstration of the  capacity of the void - of nothingness - to ""function"" with more efficiency, subtlety, and flexibility than any object you could imagine in its place. It was a warning that - in architecture - absence would always win in a contest with presence."
dateAdded|20180612_1017
