author|rybn.org
translator|
title|
editor|
in|Open Codes
location|
publisher|
year|2017
pages|https://zkm.de/de/adm-xi
tag|markt + ökonomie + algorithmus + finanzen + handel + dogma + neo + liberal + irrationalität + rationalität + frei + handelsplatz + verzerrung + big-data + überirdisch + prämisse + instrument + astronomisch + astrologisch + esoterik + magie + geomantie + merkantil + logik + chaos + preis + markt + form + geometrie
quote|»ADM XI« ist eine unabhängige Forschungsplattform zur Entwicklung experimenteller Anwendungen für den algorithmischen Finanzhandel, mit der das Dogma der neoklassischen Theorie infrage gestellt wird. In diesem Rahmen entstandendissident, irrational und experimentell agierende Handelsalgorithmen, denen freier Lauf gelassen wird, um miteinander auf einem Handelsplatz zu konkurrieren, für dessen Infrastruktur und Organisation RYBN.ORG verantwortlich ist. Bei diesem Wettbewerb basiert der Gewinn nicht mehr länger auf Preisgestaltung und anderen ökonomischen Instrumenten, sondern auf lebenden Organismen - Böden, Pflanzen, Bakterien; auf überirdischen Gesetzen - ökologischen, astronomischen, astrologischen; und auf altem, verbotenem Wissen - Esoterik, Magie, Geomantie. Jeder Algorithmus folgt seiner eigenen nichtmerkantilen und zwanghaften Logik: Einige versuchen, absolutes und unumkehrbares Chaos anzurichten; andere versuchen, die Marktpreise so zu beeinflussen, dass sie wie eine bestimmte, geometrische Form aussehen.
image|./dict/A/adm xi/rybn.org_2017_20181103_1552.png
dateAdded|20181103_1552
