author|Alexander, Christopher
translator|
title|Introduction: The need for Rationality
editor|
in|Notes on the Synthesis of Form
location|Cambridge
publisher|Harvard University Press
year|1964
pages|6
tag|aberglaube + angst + analyse + design + problem + offensichtlich + möglich + intuition + tödlich + bedauerlich + ergebnis + verstehen + prozess + analytisch
quote|The analysis of design problems is by no means obviously possible. There is a good deal of superstition among designers as to the deathly effect of analysis on their intuititions - with the unfortunate result that very few designers have tried to understand the process of design analytically.
dateAdded|20180823_1555
