author|Marcq, Philippe
translator|
title|Das Subsystem der Annäherung
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|20-22
tag|spatial + präposition + statisch + annäherung + sprache + raum
significance|primary
quote|"s t a t i s c h : 1) Die Teilnehmer stehen sich gegenüber: ""Wir stehen ihnen gegenüber."" 2) Zwischen den Teilnehmern existiert ein Kontakt: ""Wir stehen an der Tür."" 3) Die Partner befinden sich in der Opposition ""überdecken - überdeckt"": ""Wir stehen unter dem Baum."" 4) Die Partner befinden sich in der Opposition ""umgebend-umgeben"": ""Wir sitzen um den Tisch."""
dateAdded|20180604_0000
