author|Lölkes, Christian
translator|
title|
editor|
in|Open Codes
location|
publisher|
year|2017
pages|https://zkm.de/de/arecibo-nachricht
tag|teleskop + wissenschaft + nachricht + weltraum + richtung + galaxie + zeitpunkt + leben + fremd + frage + fehler + strategie + aufmerksamkeit + übermittlung + herausforderung + codierung + decodierung + form + intelligenz + entschlüsseln + verschlüsseln + physik + erde + binär + zustand + rechteck + planet
quote|Im Jahr 1974 sendeten WissenschaftlerInnen mithilfe des damals größten Radiotelekops der Welt eine Nachricht in den Weltraum in die Richtung einer Galaxie, in der man zu diesem Zeitpunkt fremdes Leben vermutete. Unabhängig von der Frage, ob es aus menschlicher Sicht ein strategischer Fehler war auf sich aufmerksam zu machen, stellte allein die Übermittlung der Nachricht eine Herausforderung dar: Wie codiert man eine Information, die von möglichst jeder Lebensform mit ausreichender Intelligenz entschlüsselt werden kann? Eine allgemeine Nachricht ist unmöglich, da man an die eigene Intelligenz und Physik gebunden ist. Während jeder Mensch der Erde binäre Zustände und Rechtecke kennt, würde eine darauf basierende »Arecibo-Nachricht« bei Lebewesen, die wegen der Physik ihres Planeten keine diskreten Zustände und keine Ecken kennen, nicht einmal erkannt werden.
dateAdded|20181103_1547
