author|Marcq, Philippe
translator|
title|Das Subsystem des Ausweichens
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|22-24
tag|spatial + präposition + ausweichen + annähern + punktuell + linear + raum + sprache
significance|primary
quote|"1) Zusammenstoß: ""Der Ball fliegt gegen die Fensterscheibe."" 2) Durchbruch: ""Der Ball fliegt durch die Fensterscheibe."" [3) Ausweichen] 4) Punktuelle Annäherung: ""Wir gingen an ihnen vorbei."" 5) Lineare Annäherung: ""Wir gingen am Ufer des Sees entlang."" "
dateAdded|20180604_0000
