author|
translator|
title|1. Mose 11, 1ß9
editor|
in|Genesis
location|
publisher|
year|
pages|https://www.bibleserver.com/text/EU/1.Mose11
tag|babel + babylonische-verwirrung + sprache
significance|primary
quote|Die ganze Erde hatte eine Sprache und ein und dieselben Worte. 2 Als sie ostwärts aufbrachen, fanden sie eine Ebene im Land Schinar und siedelten sich dort an. 3 Sie sagten zueinander: Auf, formen wir Lehmziegel und brennen wir sie zu Backsteinen. So dienten ihnen gebrannte Ziegel als Steine und Erdpech als Mörtel. 4 Dann sagten sie: Auf, bauen wir uns eine Stadt und einen Turm mit einer Spitze bis in den Himmel! So wollen wir uns einen Namen machen, damit wir uns nicht über die ganze Erde zerstreuen. 5 Da stieg der HERR herab, um sich Stadt und Turm anzusehen, die die Menschenkinder bauten. 6 Und der HERR sprach: Siehe, ein Volk sind sie und eine Sprache haben sie alle. Und das ist erst der Anfang ihres Tuns. Jetzt wird ihnen nichts mehr unerreichbar sein, wenn sie es sich zu tun vornehmen. 7 Auf, steigen wir hinab und verwirren wir dort ihre Sprache, sodass keiner mehr die Sprache des anderen versteht. 8 Der HERR zerstreute sie von dort aus über die ganze Erde und sie hörten auf, an der Stadt zu bauen. 9 Darum gab man der Stadt den Namen Babel, Wirrsal, denn dort hat der HERR die Sprache der ganzen Erde verwirrt und von dort aus hat er die Menschen über die ganze Erde zerstreut.
dateAdded|20180601_0000
