author|
translator|
title|
editor|
in|FU Berlin VWL Basiswissen
location|
publisher|
year|
pages|https://www.lai.fu-berlin.de/e-learning/projekte/vwl_basiswissen/wechselkurs/wk_glossar/index.html
tag|ceteris-paribus + wissenschaft + ökonomie + paradigma + gleichheit + gleich + system + variable + auswirkung + effekt + veränderung + beobachtung + empirie + epistymologie + konstant + variabel + größe + nähe + proximity
quote|"Zur Analyse statischer ökonomischer Systeme benutzen Ökonomen die sogenannte „Ceteris Paribus"" Klausel, im englischen wird sie mit „all other things being equal"" umschrieben. Dies bedeutet, dass in dem System nur eine Variable, zum Beispiel der Wechselkurs, verändert wird und die Auswirkungen der Veränderungen auf das System beobachtet wird. Alle anderen Variablen in dem System werden konstant gehalten. Das heißt, wir gehen hier beispielhaft einmal so vor, dass wir betrachten, was theoretisch passiert, wenn eine Variable, wie zum Beispiel der Wechselkurs, verändert wird, wenn die anderen Größen konstant bleiben."
dateAdded|20180702_2039
