author|
translator|
title|
editor|
in|wikipedia
location|
publisher|
year|
pages|https://de.wikipedia.org/wiki/Deixis
tag|index + deixis + sprache
significance|secondary
quote|"Deixis (zu altgriechisch ‚zeige’), auch Indexikalität, ist ein Fachbegriff aus der Sprachwissenschaft, vor allem aus der Pragmatik. Er bezeichnet die Bezugnahme auf Personen, Orte, Gegenstände und Zeiten im Kontext, die mit Hilfe von deiktischen oder indexikalischen Ausdrücken wie ich, du, dort, hier, morgen, heute ... erfolgt. Ein deiktischer Ausdruck wird „Deiktikon"" (plural „Deiktika"") genannt."
dateAdded|20180609_1941
