author|Eco, Umberto
translator|
title|4.3.2 Der Begriff als Zeichen für die Sache
editor|
in|Zeichen
location|
publisher|
year|1973
pages|131
tag|idee + ding + interpretant + unbegrenzte semiose + sache + phänomenologie + bedeutung + phänomen
significance|primarz
quote|[...] Das Ding als solches hat in der Welt der Erkenntnis kein Bürgerrecht mehr, die Zeichen verweisen nicht mehr auf Dinge, sondern auf Ideen, die ihrerseits ebenfalls nur zeichen sind. Hier steckt die wurzel für eine Theorie der Intepretanten und der unbegrenzten Semiose.
dateAdded|20180601_0000
