author|Alexander, Christopher
translator|
title|Goodness of Fit
editor|
in|Notes on the Synthesis of Form
location|Cambridge
publisher|Harvard University Press
year|1964
pages|25
tag|unterschied + eigenschaft + aufschreiben + unendlich + verlassen + undefiniert + information + statement + task + aufgabe + gegeben 
quote|Unfortunately, the list of distinguishable characteristics we can write down [...] is infitnite. [...] The only reason we are able to match one thing with another at all is that we rely on a good deal of unexpressed information contained in the statement of the task, and take a great deal for granted.
dateAdded|20180824_1810
