author|Eco, Umberto
translator|
title|Sozialität und Beobachtbarkeit der kulturellen Einheiten
editor|
in|Zeichen
location|
publisher|
year|1973
pages|178-179
tag|kultur + einheit + entität + handhabbar + beobachtbar + manifest + kultur + interpretant + wort + zeichnung + definition + geste + sprache + konvention + verhalten + art + valenz + opposition + system
significance|primary
quote|Eine kulturelle Einheit ist eine beobachtbare und handhabbare Entität. Sie ist beobachtbar, denn sie manifestiert sich innerhalb einer Kultur durch ihre Interpretanten: geschriebene Wörter, physisch realisierte Zeichnungen, ausgedrückte Definitionen, Gesten und also auch besondere, bereits als zeichenhafte Entitäten konventionalisierte Verhaltensweisen usw. [...] Die kulturelle Einheit ist handhabbar, denn sie wird systematisch als Valenz in einem Oppositionssystem definiert.
dateAdded|20180625_1416
