author|Wertheim, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|303
tag|tatsache + konstellation + art + zusammen + getrennt + natürlich + normal + erfahrung + primär + häufigkeit + gewohnheit + konvention + gestalt + wahrnehmung + sehen
significance|
quote|"Wenn es überhaupt Tatsache sein soll, daß bei einer bestimmten Konstellation eine Art der Zusammengefaßtheit die ""natürliche"" normal resultierende sei, dann gründet das natürlich in erster Linie in der Erfahrung: [...] abc ist oft zusammen dagewesen, ohne def; und etwa ebenso def für sich oft zusammen dagewesen; und also wird es beim Erscheinen von abcdef naheliegen, daß das Zusammen abc und das zusammen def resultiert, natürlich eher, als daß hier ab und cdef resultieren würden, die ja so nicht gewohnt sind. """
dateAdded|20180702_1918
