author|
translator|
title|
editor|
in|wikipedia
location|
publisher|
year|
pages|https://de.wikipedia.org/wiki/Faksimile
tag|replik + nachbildung + reproduktion + historisch + wert + wertvoll + handschrift + dokument + fälschung + schutz
significance|secondary
quote|"Das Faksimile (lat. fac simile „mache es ähnlich""; Plural: Faksimiles) ist eine originalgetreue Nachbildung oder Reproduktion einer Vorlage, häufig im Falle historisch wertvoller gedruckter oder handschriftlich erstellter Dokumente. "
dateAdded|20180627_1847
