author|Eco, Umberto
translator|
title|Semiotik und Architektur
editor|
in|Einführung in die Semiotik
location|Paderborn
publisher|W. Fink UTB
year|1972
pages|296
tag|Problem + Semiotik + Schlüssel + Kultur + Phänomen + Funktion + Aspekt + Kommunikation + Interpretation + Betrachtung + Identifikation + Art + Entdeckung + Hilfe + wichtig + funktionalismus + blind
quote|Ein erstes Problem, das sich also der Semiotik stellt, sofern sie den Schlüssel für alle Kulturphänomene liefern will, ist vor allem, inwieweit sich die Funktion auch unter dem Aspekt der Kommunikation interpretieren lassen; zweitens, inwiefern die Betrachtung der Funktion unter dem Aspekt der Kommunikation besser zu verstehen und gerade als Funktionen zu definieren erlaubt und andere Arten der Funktionalität zu entdecken hilft, die ebenso wichtig sind, für die aber die nur funktionalistische Betrachtung blind  macht. 
dateAdded|20181102_1307
