author|Eco, Umberto
translator|
title|Architektur als Kommunikation
editor|
in|Einführung in die Semiotik
location|Paderborn
publisher|W. Fink UTB
year|1972
pages|298
tag|architektur + code + ikon + kode + höhle + prinzip + idee + gegenstand + kommunikation + beziehung + moment + gesellschaft + gebrauch + zeichen + verwandlung + metamorphose + semiose
quote|"Der architektonische Code erzeugt einen ikonischen Code, und das ""Prinzip Höhle"" wird Gegenstand kommunikativer Beziehungen. [...] Damit ist schon geschehen, wovon Roland Barthes spricht, wenn  er sagt, daß ""von dem Moment an, wo es Gesellschaft gibt, sich jeder Gebrauch in das Zeichen dieses  Gebrauchs verwandelt"". (Elements de Semiologie, Communications 4, 1964)"
dateAdded|20181102_1314
