author|Koolhaas, Rem
translator|
title|Whatever happened to Urbanism
editor|
in|smlxl
location|
publisher|
year|1995
pages|965
tag|professionalität + fantasie + ideologie + anspruch + illusion + teilnahme + kontrolle + bescheidenheit + neu + intervention + strategie + neuanordnung + kompromiss + position + einfluss + umlenkung + erfolg + Neugruppierung + neuanfang
significance|primary
quote|A profession presists in its fantasies, its ideology, its pretension, its illusions of involvement and control, and is therefore incapable of conceiving new modesties, partial interventions, strategic realignments, compromised positions that might influence, redirect, succeed in limited terms, regroup, begin from scratch even, but will never reestablish control.
dateAdded|20180619_1033
