author|Eco, Umberto
translator|
title|"Die ""Vektor""-Indizes"
editor|
in|Zeichen
location|
publisher|
year|1973
pages|174
tag|bezugnahme + index + signifikat + wahrnehmung + gegenstand + vektor
significance|primary
quote|"Beim Akt der Bezugnahme werden metasprachlich besondere Indextypen verwendet, deren allgemeines Signifikat sich beschreiben läßt als ""Richte deine Aufmerksamkeit auf jenes Wahrnehmungsfeld und bringe dort eine aktuelle Wahrnehmung des Bezugsgegenstands zustande""."
dateAdded|20180608_1208
