author|Eco, Umberto
translator|
title|4.3.2 Der Begriff als Zeichen für die Sache
editor|
in|Zeichen
location|
publisher|
year|1973
pages|133
tag|induktion + symptom + kode + beweis
significance|primary
quote|Im fall der Induktion [...] handelt [es] sich um eine Interpretation nach Symptomen, bei der es aber keinen Kode gibt, solange nämlich, bis die Induktion wirklich gültig ist, d.h. bis ich den Versuch mehrere Mal wiederholt habe und [...] die Anzahl der Beweise den Kode [konstituiert].
dateAdded|20180601_0000
