author|Simondon, Gilbert
translator|
title|Kritik der Relation zwischen Mensch und technischem Objekt, wie sie die aus der Thermodynamik und Energetik hervorgegangene Vorstellung des Fortschritts darstellt. Rückgriff auf die Informationstheorie
editor|
in|Die Existenzweise technischer Objekte
location|
publisher|
year|1958
pages|113-114
tag|Gedächtnis + mensch + inhalt + aufnahme + form + vermögen + sinn + überlagerung + gruppe + erfahrung + kode + kodierung + erwerb + neu + interpretation + fixation + lebewesen + inhalt + semantik + maschine + bedingung + bedingtes + trennung + diskontinuität + zuerst + danach + vorher + grundlage + form + lebendig + posteriori + priori + funktion 
quote|Das menschliche Gedächtnis nimmt Inhalte auf, die ein Formvermögen in dem Sinn haben, dass sie sich so überlagern, so gruppieren, als ob die erworbene Erfahrung als Code für jeden neuen Erwerb diente, um sie zu interpretieren und zu fixieren: Beim  Menschen und allgemeiner bei den Lebewesen wird der Inhalt Kodierung, während in der Maschine Kodierung ind Inhalt als Bedingung und Bedingtes getrennt bleiben. Ein in das menschliche Gedächtnis eingeführter Inhalt wird sich auf die vorherigen Inhalte legen und auf deren Grundlage Form annehmen: Das Lebendige ist das, worin das a posteriori zum a priori wird; das Gedächtnis ist diejenige Funkktion, durch die a posteriori zu a priori werden.
dateAdded|20180712_0942
