author|Eco, Umberto
translator|
title|Architektur und Kommunikation
editor|
in|Einführung in die Semiotik
location|Paderborn
publisher|W. Fink UTB
year|1972
pages|298
tag|werkzeug + funktion + auslöser + initiator + bedeutung + kommunikation + erfüllen + mitteilen + löffel + art + bestimmt + spezifisch + essen + benutzung
quote|"[S]chon zu sagen, daß das Werkzeug die Funktion ""in Gang setzt"", bedeuted, daß es auch eine kommunikative Funktion erfüllt, es teilt die zu erfüllende Funktion mit; [...] Der Löffel setzt eine bestimmte Art des Essens in Gang und bedeuted diese Art des Essens, [...] Gegenstände teilen mit, auch wenn sie nicht benutzt werden."
dateAdded|20181102_1319
