author|Eco, Umberto
translator|
title|Der Interpretant
editor|
in|Zeichen
location|
publisher|
year|1973
pages|172
tag|interpretant + zeichen + semie + variante + merkmal + gegenstand + konnotation + ausdruck + substanz + synonym
significance|primary
quote|Der Interpretant [kann] ein anderes Zeichen derselben Semie (ein Synonym) sein; ein Zeichen einer anderen Semie, das dieselbe Ausdruckssubstanz verwendet; ein Zeichen aus Semien einer anderen Ausdruckssubstanz; ein als Zeichen betrachteter Gegenstand; eine intensionale Definition der Merkmale, die man dem betreffenden Gegenstand des Zeichens gewöhnlich zuschreibt; eine emotionale oder verstandesmäßige Konnotation, die mit diesem Zeichen derart verbunden ist, daß sie im Kontext zu einem adäquaten Vertreter für es wird.
dateAdded|20180607_1527
