author|Eco, Umberto
translator|
title|Das Semem und der Kontext
editor|
in|Zeichen
location|
publisher|
year|1973
pages|184
tag|kode + semem + semantik + marker + distinktor + restriktion + selektion + amalgam + kontext + situation + bedeutung + umstand
significance|primary
quote|Der Kode ordnet dem Semem nicht nur semantische  Marker und distinktoren zu, sondern auch restriktive Selektionen, die angeben, mit welchen anderen Sememen das Semem amalgamiert werden kann, und möglicherweise auch kontextuelle und situationelle Selektionen, die festlegen, welche Bedeutungen des Semems je nach den Umständen amalgamiert werden sollen.
dateAdded|20180625_1357
