author|Eco, Umberto
translator|
title|Der Kode in engerem Sinn
editor|
in|Zeichen
location|
publisher|
year|1973
pages|171
tag|kode + zeichen + polyvalenz + signifikat + definition + kommunikation
significance|primary
quote|Ungenauigkeit, Schwachheit, Unvollständigkeit, Vorläufigkeit und Widersprüchlichkeit des Kodes haben keinen Einfluß auf die Definition eines Zeichens als Zeichen; sie können höchstens zu mehrdeutigen Signifikaten führen und die Kommunikation erschweren. Die Kommunikation wird nicht dann schwierig, wenn es keine als solche anerkannte Zeichen gibt, sondern dann, wenn die Zeichen als solche anerkannt werden aber die Kodes mangelhaft sind.
dateAdded|20180607_0000
