author|Simondon, Gilbert
translator|
title|Kritik der Relation zwischen Mensch und technischem Objekt, wie sie die aus der Thermodynamik und Energetik hervorgegangene Vorstellung des Fortschritts darstellt. Rückgriff auf die Informationstheorie
editor|
in|Die Existenzweise technischer Objekte
location|
publisher|
year|1958
pages|114
tag|Kritik + Relation + Mensch + technik + objekt + mschine + kopplung + augenblick + schwelle + gedächtnis + kodierung + kode + gemeinsam + konvertierung + schnittstelle + synergie
quote|Die Kopplung des Menschen mit der Mschine existiert von jenem Augenblick an, in dem eine beiden Gedächtnissen gemeinsame Kodierung gefunden werden kann, damit man eine teilweise Konvertierung des einen in das andere verwirklichen kann und somit Synergie möglich wird. 
dateAdded|20180712_1035
