author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|311
tag|kombination + resultat + faktor + gleichheit + ungleichheit + nähe + konstellation + kontinuität + diskontinuität + zusammen + getrennt + wirkung + wahrnehmung + gestalt + tendenz + sinn + ähnlichkeit + veränderung + abstand + gesetz + schwach + stark + regulation + valenz + polyvalenz + komplexität
quote|Was resultiert wenn zwei solche Faktoren [(Nähe und Gleichheit)] in einer Konstellation durchängig zusammen vorhanden sind? Man kann die zwei Faktoren miteinander oder gegeneinander wirken lassen; ist z.B. der eine im Sinn der tendenz zu ab/cd/.. angesetzt, so kann man den anderen im selben oder im engegengesetzten Sinn (../bc/de/..) ansetzen. Ähnlich wie durch Veränderung der Aabstandsverhältnisse innerhalb des Gesetzes der Nähe (vgl. 45), kann man dadurch eine vorhandene Tendenz schwächen oder stärken. 
dateAdded|20180702_2107
