author|Eco, Umberto
translator|
title|Das Zeichen
editor|
in|Zeichen
location|
publisher|
year|1973
pages|167
tag|kommunikation + kode + zeichen + signifikat + signifikant + signal + kanal + sender + empfänger + botschaft
significance|primary
quote|Ein Kommunikationsprozeß liegt vor, wenn ein Sender bewußt kodierte Signale mittels eines Sendegeräts überträgt, das sie über einen Kanal schickt; die Signale aus dem Kanal werden von einem Empfangsgerät empfangen, das sie in eine Botschaft umwandelt, die ein Empfänger erfassen kann, der dann aufgrund des Kodes mit der Botschaft als der signifikanten Form in Signifikat oder einen Inhalt der Botschaft verbindet.
dateAdded|20180606_0000
