author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|307
tag|denkfehler + sachverhalt + konstruktiv + summe + reiz + elementar + zusammen + getrennt + komplexität + deduktion + induktion + möglichkeit + mathematik + logik + punkte + selbstverständlich + einfach + sicher + elementar + entität + physisch + eindeutigkeit + valenz + polyvalenz
significance|
quote|"Es wäre ein Denkfehler, wollte man von dem Sachverhalt des §3 aus in üblicher Weise konstruktiv, von der Summe der Einzelreize ausgehend, schließen: ""Je mehr Punkte, je mehr Zusammenfassungen also erforderlich sind, desto schwerer."" In Wirklichkeit wird nur die unnatürliche, künstliche Form in ihrer Herstellung durch die Vielheit der Punkte erschwert; nicht etwa die natürliche Fassung. [...] Ist es mathematisch theoretisch so, daß, je mehr Punkte da sind, desto mehr Zusammenfassungsmöglichkeiten denkbar sind, so e ntsprechen dem die Tatsachen durchaus nicht; [...] bei Konstellationen weniger Punkte sind beträchtlich mehr reale Möglichkeiten da. [...] das Ausgehen von wenigen, einzelnen Reizen gibt nicht ""selbstverständlicherweise"" das einfachere, sicherere, elementare Resultat; [...] die geringzahligeren ""einfacheren"" Bedingungen sind für das physisch Resultierende die unsichereren, weniger eindeutigen, weniger ""einfachen""."
dateAdded|20180702_1933
