author|Eco, Umberto
translator|
title|Die Konnotation
editor|
in|Zeichen
location|
publisher|
year|1973
pages|181
tag|einheit + system + semantik + signifikant + interpretant + konnotation + entität
significance|primary
quote|Indem er auf eine semantische EInheit des Systems verweist, verweist der Signifikant auch auf andere Einheiten, für die die erste ein - wenngleich ein partieller oder sehr allgemeiner Signifikant (oder Interpretant) ist, und die ihrerseits wieder Signifikanten für andere Einheiten sind.
dateAdded|20180625_1427
