author|Eco, Umberto
translator|
title|Der Interpretant
editor|
in|Zeichen
location|
publisher|
year|1973
pages|172
tag|kontext + interpretant + zeichen + amalgam + zwänge + möglichkeiten
significance|primary
quote|"Mit ""in entsprechender Umgebung"" sind die durch den Kontext gesetzten interpretativen Zwänge und Möglichkeiten gemeint. Im Fall von /Tiere/ ermöglicht die semantische Amalgamierung mit den Komponenten des Semens ""essen"", daß man als Intepretant von /Tiere/ die Teildefinition ""Fleisch getöteter Tiere"" verstehen kann."
dateAdded|20180607_1534
