author|Eco, Umberto
translator|
title|Konventionalität des Zeichens
editor|
in|Zeichen
location|
publisher|
year|1973
pages|170
tag|ikon + konvention + merkmal + grafik + gegenstand + inhalt + ausdruck
significance|primary
quote|Und nun trifft das ikonische Zeichen die Entscheidung diese Elemente der Inhaltsform (oder Erkennungsmerkmal der Gegenstände) durch bestimmte graphische Mittel (Merkmale der Ausdrucksform) darzustellen. Sind diese graphischen Mittel nicht genügend konventionell festgelegt dann hat man nicht den EIndruck, das Zeichen sei dem dargestellten Gegenstand ähnlich.
dateAdded|20180607_0000
