author|Eco, Umberto
translator|
title|Das semantische System
editor|
in|Zeichen
location|
publisher|
year|1973
pages|181
tag|System + definition + semiotik + kreativität + leben + semiose + umfassend + hoffnung + enttäuschung + abschluss + ideologie
significance|primary
quote|Aber die Hoffnung, man könnte das umfassende System selbst festlegen, muß die Semiotik enttäuschen, denn wenn das möglich wäre, so würde dieses System jenen Aspekt ständiger Kreaitvität verlieren, der zum Leben der Semiose gehört.
dateAdded|20180625_1422
