author|Eco, Umberto
translator|
title|Die kulturellen Einheiten
editor|
in|Zeichen
location|
publisher|
year|1973
pages|176
tag|semantik + einheit + entität + signifikant + signifikat + kultur + sprache + system + homologie
significance|primary
quote|Die semantischen Einheiten sind genügend unabhängig von den Signifikanteneinheiten, die sie repräsentieren können: Es können in zwei verschiedenen Kulturen große Teile des semantischen Systems in homologer Weise strukturiert sein, während in den beiden korrespondierenden Sprachen derselben kulturellen Einheit unterschiedliche Signifikanten entsprechen.
dateAdded|20180614_1914
