author|Eco, Umberto
translator|
title|Die elementaren KOmponenten des Zeichens und ihre Gliederungen
editor|
in|Zeichen
location|
publisher|
year|1973
pages|79
tag|lexem + minimaleinheit + syntax + regel + flexion
significance|primary
quote|"Ein Lexem ist eine lexikalische Einheit, wie man sie im Wörterbuch findet, gewöhnlich im Singular und (bei den flektierenden Sprachen) im Nominativ. Definieren wir das Lexem als die ""abstrakteste"" Einheit, die je nach den verschiedenen syntaktischen Regeln, denen das Hervorbingen von Äußerungen unterliegt, in unterschiedlichen Flexiones-""Formen"" vorkommt (Lyons, 1968, 5.4.4)."
dateAdded|20180607_0000
