author|Eco, Umberto
translator|
title|4.1 Der Mensch als symbolisches Wesen
editor|
in|Zeichen
location|
publisher|suhrkamp
year|1973
pages|108
tag|symbolisches-wesen + mensch + kultur
significance|primary
quote|Der Mensch, so hat man gesagt, ist ein symbolisches Wesen, und in diesem Sinne sind nicht nur die Wortsprache, sondern die Kultur insgesamt, [...] nichts anderes als symbolische Formen (Cassirer 1923; Langer 1953), in die er seine Erfahrungen faﬂt, um sie austauschbar zu machen: Man stiftet Menschheit, wenn man Gesellschaft stifter; aber man stiftet Gesellschaft; wenn man Zeichen austauscht. 
dateAdded|20180601_0000
