author|Simondon, Gilbert
translator|
title|Vom Kind erlernte Technik und vom Erwachsenen gedachte Technik
editor|
in|Die Existenzweise technischer Objekte
location|
publisher|
year|1958
pages|86
tag|methode + struktur + universell + erwachsen + rational + maß + berechnung + verfahren + geometrie + darstellung + beschreibung + deskription + analyse + erklärung + objektivität + resultat + erfahrung + gültigkeit + valenz + bemühen + darlegung + bedingungen + konditionen + hypothese + behandlung + vermutung + tatsache + manifest + wissenschaft + erklärung + vorliebe + geist
significance|primary
quote|Die Methode und Struktur [...] ist rational und zweifach universell; darin ist sie erwachsen. Sie ist rational, weil sie das Maß, die Berechnung, die Verfahren der geometrischen Darstellung und der deskriptiven Analyse verwendet; rational ist sie auch, weil sie auf objektive Erklärungen zurückgreift und die Resultate der Erfahrung geltend macht, und dies im Bemühen um die genaue  Darlegung der Bedingungen, darum, als Hypothese zu behandeln, was auf Vermutung beruhtund als feststehende Tatsache, was man als solche betrachten muss; die wissenschaftliche Erklärung wird nicht allein gefordert, sondern sie wird zusammen mit einer ausgeprägten Vorliebe für den wissenschaftlichen Geist gefordert.
dateAdded|20180627_1109
