author|Eco, Umberto
translator|
title|Dekodierung und Interpretation
editor|
in|Zeichen
location|
publisher|
year|1973
pages|189
tag|grenze + dekodierung + irrtum + fehler + hermeneutik + entscheidung + interpretation + pragmatik + kommunikation + leben + semiose + regel + möglichkeit + ergebnisse + vorhersehung
significance|primary
quote|Zwischen der unteregen Grenze der irrigen Dekodierung [...] und der oberen Grenze der mit hermeneutischen Entscheidungen durchsetzten Dekodierung entfaltet sich so als  Pragmatik der Kommunikation das eigentliche Leben der Semiose. Die Semiotik kann, indem sie Kodes aufstellt, zwar die dynamischen Regeln für diese Möglichkeiten formulieren aber nicht die Ergebnisse vorhersehen.
dateAdded|20180625_1349
