author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|302
tag|spontan + natürlich + ertwartung + normal + art + normalität + zusammen + getrennt + macnhmal + selten + bestimmt + umstand + resultat + anders + künstlich + besonders + maßnahme + schwer + herstellung + produktion + gestalt + wahrnehmung + relation + sehen + konvention
significance|
quote|"[...] meist ist es doch auch hier so, daß eine ""spontane"", ""natürliche"", normaliter zu erwartende Art der Zusammengefaßtheit und Getrenntheit da ist und außerdem etwa nur manchmal, selten, unter bestimmten Umständen, anders resultieren kann oder künstlich, durch besondere Maßnahmen, nur eben auch, - schwerer -, herstellbar ist."
dateAdded|20180702_1910
