author|Eco, Umberto
translator|
title|Kultur als Segmentierung des Inhalts
editor|
in|Zeichen
location|
publisher|
year|1973
pages|186
tag|kultur + objektiv + historie + anthropologie + bedingungen + ebenen + aufteilung + element + wahrnehmung + einheit + segmentierung + erkenntnis
significance|primary
quote|Kultur ist die Art und Weise, wie unter bestimmten historisch-anthropologischen Bedingungen auf allen Ebenen, von der Aufteilung in elementare Wahrnehmungseinheiten bis zu den igeologischen Systemen, der Inhalt segmentiert (und die Erkenntnis damit objektiviert) wird.
dateAdded|20180625_1308
