author|Vrachliotis, Georg
translator|
title|Swinging Cybernetics
editor|
in|Geregelte Verhältnisse
location|
publisher|
year|2012
pages|130
tag|modell + abstrakt + umwelt + mensch + maschine + kybernetik + leicht + homogen + parameter + umfassend + system + operation + technisch + technik + verwalten + formalismus
quote|In der abstrakten Modellwelt der Kybernetik schien es ein Leichtes, Mensch, Maschine und Umwelt als homogene Parameter eines einyigen, alles umfassenden Systems zu operationalisieren und technisch zu verwalten.
dateAdded|20181030_1320
