author|Eco, Umberto
translator|
title|Die kulturellen Einheiten
editor|
in|Zeichen
location|
publisher|
year|1973
pages|176
tag|interpretant + zeichen + kultur + semantik + system + opposition + feld + achse
significance|primary
quote|Jeder Interpretant eines Zeichens ist eine kulturelle oder semantische Einheit. Diese Einheiten konstituieren sich in einer Kultur autonom zu einem System von Oppositionen, dessen umfassende Interrelation als umfassendes semantisches System bezeichnet wird. Man betrachtet es gewöhnlich als konstituiert aus semantischen Feldern oder sogar aus bloßen Oppositionsachsen.
dateAdded|20180608_1601
