author|Eco, Umberto
translator|
title|Semiose und Bezugnahme
editor|
in|Zeichen
location|
publisher|
year|1973
pages|172
tag|ostensiv + zeichen + bezug + referent + gegenstand + interpretant + klasse + signifikat
significance|primary
quote|Ein Zeichen steht niemals für einen Gegenstand oder Referenten. Es kann in einem Akt der Bezugnahme nur dann richtig gebraucht werden, wenn der Kode ihm denselben Interpretanten zuweist, den er bestimmten Gegenständen zuweist, die man als ostenstive Zeichen betrachtet und die für die Klasse der Gegenstände stehen, denen sie angehören (eine Klasse, die nicht einen Gegenstand, sonder nein Signifikat konstituiert).
dateAdded|20180607_1602
