author|Eco, Umberto
translator|
title|Semiose und Bezugnahme
editor|
in|Zeichen
location|
publisher|
year|1973
pages|174
tag|semen + akt + parole + artikulation + reservoir + paradigma + element + syntaktik + kode
significance|primary
quote|Semischer Akt (in Buyssens' Sinn) ist jeder Akt, den Saussure der parole zugeordnet hätte, d.h. jede aktuelle und konkrete Artikulation aufgrund des Reservoirs an paradigmatischen Elementen und syntaktischen Regeln, das der Kode bereitstellt.
dateAdded|20180608_1105
