author|Vrachliotis, Georg
translator|
title|Swinging Cybernetics
editor|
in|Geregelte Verhältnisse
location|
publisher|
year|2012
pages|132-133
tag|wechselwirkung + interaktion + gebäude + betrachter + objekt + subjekt + performativ + performanz + kommunikation +system + kybernetik + interpretation + technisch + technik + beschreiben + funktion + architektur + pask + potenzial + anordnung + gestaltung + raum + mensch + körper + umwelt + wirklichkeit + charakter + konstituieren
quote|"Die Wechelswirkung zwischen Gebäude und Betrachter, Objekt und Subjekt konnten [...] als performative Kommunikationssysteme verstanden werden, die kybernetisch interpretierbar und technisch beschreibbar waren. Die eigentliche ""Funktion"" von Architektur bestand für Pask demnach in dem Potenzial, über die Anordnung und Gestaltung von Räumen mit dem Menschen in eine körperliche Wechselwirkung zu treten und als ""Umwelt"" einen wirklichkeitskonstituierenden Charakter zu haben."
dateAdded|20181030_1323
