author|Koolhaas, Rem
translator|
title|Elegy for the vacant Lot
editor|
in|smlxl
location|
publisher|
year|1995
pages|937
tag|permanenz + albern + leichtfertig + instabilität + metropole + konflikt + definition + sieger + tiefgreifend + status + spielzeug + toleranz + dekor + illusion + geschichte + erinnerung
significance| primary
quote|The permanence of even the most frivolous item of architecture and the instability of the metropolis are incompatible. In this conflict the metropolis is, by definition, the victor; in its pervasive reality architecture is reduced to the status of a plaything, tolerated as decor for the illusions of history and memory.
dateAdded|20180619_1002
