author|Eco, Umberto
translator|
title|Semiose und Bezugnahme
editor|
in|Zeichen
location|
publisher|
year|1973
pages|173
tag|signifikat + zeichen + interpretant + empfänger + kode + unbegrenzt + unendlichkeit + zweck + pragmatik + kommunikation + bezug + anwendung
significance|primary
quote|Das Signifikat eines Zeichens läßt sich nur klären durch den Verweis auf einen Interpretanten, der wieder auf einen weiteren Interpretanten verweist, und so fort bis ins Unendliche, was ein Prozeß unbegrenzter Semiose in Gang setzt, in dessen Verlauf der Empfänger das ursprüngliche Zeichen so weit dekodifiziert, wie er das für die Zwecke der betreffenden Kommunikation und die Bezugnahme, bei denen er es anwenden möchte, braucht. 
dateAdded|20180607_1607
