author|Eco, Umberto
translator|
title|Die Produktion des Zeichens
editor|
in|Zeichen
location|
publisher|
year|1973
pages|186
tag|arbeit + produktion + medium + darstellung + konnotation + signifikat + art + bedeutung
significance|primary
quote|Das Hervorbringen von Zeichen ist eine Arbeit, gleichgültig, ob es sich um Wörter oder um Waren handelt. Diese Arbeit scheint für das Zeichen als Bedeutungsträger unwesentlich zu sein und nur die Struktur des Ausdrucks zu betreffen; sie müßte aber eines der Signifikate sein, die das Zeichen konnotiert, so wie das gesprochene Wort durch die Art der Aussprache die sprachlichen Merkmale des Sprechers konnotiert.
dateAdded|20180625_1340
