author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|319
tag|variation + bestand + stück + system + konfiguration + ort + nähe + gleichheit + eindruck + psychologie + gleich + gleichgewicht + stufen + menge + individuum + individuell + charakter + eindruck + prägnanz + prägnanzstufe + bereich + verlauf + gradient + knick + typ + sinn + gestalt
quote|"Variiert man ein Bestandsstück stufenweise - [zum Beispiel in der Konfiguration a b c den Ort des b zwischen a und c (ab c; a bc; a      b   c)] - so sind die sich ergebenden Eindrücke psychologisch nicht eine gleichgewichtige, aus entsprechenden Stufen bestehende Menge individuell-charakteristischer Eindrücke, sondern es ergeben sich bestimmte ""Prägnanzstufen"" mit ihren ""Bereichen""; der Verlauf zeigt ""Knicke""; Zwischenstufen erscheinen typisch ""im Sinn einer der Prägnanzformen"". "
dateAdded|20180703_0824
