author|Marcq, Philippe
translator|
title|
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|12-13
tag|präposition + sprache + raum + zeit
significance|primary
quote|Mittels der Termini Präposition mit und ohne Ellipse, Postposition und Circumposition läßt sich das System der spatialen und temporalen Präpositionen des Deutschen endlich beschreiben. [...] Der einmal gewonnene Überblick über das tatsächliche systematische Funktionieren der spatialen Präpositionen führte uns zu der Annahme, daß auch die temporalen Präpositionen in ein System gehören müssen, dass ein Ganzes für sich bildet, obwohl die gleichen Präpositionen mit wenigen Außnahmen im Raum und in der Zeit gebraucht werden.
dateAdded|20180602_0000
