author|
translator|
title|
editor|
in|wikipedia
location|
publisher|
year|
pages|https://de.wikipedia.org/wiki/Qualia
tag|qualia + mental + qualität + phänomen + materialität + geist + philosophie + wahrnehmung
significance|secondary
quote|"Unter Qualia (Singular: das Quale, von lat. qualis „wie beschaffen"") oder phänomenalem Bewusstsein versteht man den subjektiven Erlebnisgehalt eines mentalen Zustandes. Das Verständnis der Qualia ist eines der zentralen Probleme der Philosophie des Geistes. Dort wird von manchen angenommen, dass ihre Existenz nicht mit den Mitteln der Neuro- und Kognitionswissenschaften erklärbar ist."
dateAdded|20180627_0955
