author|Eco, Umberto
translator|
title|Dekodierung und Interpretation
editor|
in|Zeichen
location|
publisher|
year|1973
pages|188
tag|kommunikation + alltag + pragmatik + bezug + kode + dekodierung + reaktion + empfänger + kultur + lernen + natürlich + ergebnis + bedeutung + form
significance|primary
quote|Bei der Alltagskommunikation erfolg die Bezugnahme  auf die Kodes fast automatisch, so daß man die Dekodierungsprozesse als bedingte Reflexe verstehen kann, entstanden aus kulturellen  Lernvorgängen, die zum natürlichen Ergebnis die sofortige und häufig unbewußte Reaktion des  Empfängers auf die bedeutungstragende Form haben.
dateAdded|20180625_1346
