author|Eco, Umberto
translator|
title|Reiz und Kommunikation
editor|
in|Einführung in die Semiotik
location|Paderborn
publisher|W. Fink UTB
year|1972
pages|298-299
tag|Reiz + Reflex + Komplex + sensorik + sensorisch + ereignis + reaktion + provokation + hervorrufen + direkt + indirekt + moment + wahrnehmung + einfach + zusammenhang + intellekt + intellektuell + verfahren + übergang + zeichen + prozess + eingriff + verstehen + verstand + grundlage + erfahrung + code
quote|Ein Reiz ist ein Komplex von sensorischen Ereignissen, die eine bestimmte Reaktion hervorrufen. Die Reaktion kann direkt sein [...] oder indirekt sein [...]. [...] In dem Moment, wo ich wahrgenommen habe, [bin ich] schon von einem einfachen Zusammenhang zwischen Reiz und Reaktion zu einem intellektuellen Verfahren übergegangen, in das Zeichenprozesse eingegriffen haben. [...] Zeichen, [die] ich nur verstehen konnte auf der Grundlage vergangener Erfahrungen und eines Erfahrungscodes.
dateAdded|20181102_1328
