author|Marcq, Philippe
translator|
title|
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|15-16
tag|spatial + präposition + sprache + relation + system
significance|primary
quote|"1) lokative Relation: der determinierte Raumteil ist nicht der Richtungspunkt des Prozesses. ""wir waren unter/zwischen ihnen"" 2) direktive Relation: der determinierte Raumteil ist der Richtungspunkt des Prozesses. ""wir bewegten uns zwischen sie"" 3) perlative Relation: die Richtungslinie des Prozesses führt über den determinierten Raumteil. ""Wir bewegten uns zwischen sie hindurch"" 4) ablative Relation: der determinierte Raumteil ist Ausgangspunkt des Prozesses: ""Wir traten zwischen ihnen heraus"" 5) Relation der Bewegung in derselben Richtung wie die sich ebenfalls fortbewegenden Bezugsgegenstände: ""Wir bewegten uns zwischen ihnen her"""
dateAdded|20180602_0000
