author|Alexander, Christopher
translator|
title|Preface to the paperback edition
editor|
in|Notes on the Synthesis of Form
location|Cambridge
publisher|Harvard University Press
year|1964
pages|
tag|revision + mathematisch + methodik + methode + system + kräfte + diagramm + unabhängig + unnötig + kompliziert + formal 
quote|I was very much concerned with [...] the idea of using a mathematical method to discover systems of forces and diagrams which are independent. But once the book was written, I discovered that it is quite unnecessary to use such a complicated and formal way of getting at the independent diagrams.
dateAdded|20180823_1444
