author|Koolhaas, Rem
translator|
title|Revision
editor|
in|SMLXL
location|
publisher|
year|1995
pages|241
tag|revision + ideologie + regime + zeugnis + new + old + architecture + verifizierung + erinnerung + bewahrung
significance|primary
quote|An architecture of revision would maintain evidence of past ideologies for the assessment of new building and prevent a single new ideology from becoming paradigmatic and thus above verification. New construction obliterates what exists: it is loss of memory. But an architecture of revision can maintain the viable, modify the untenable.
dateAdded|20180612_1100
