author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|301
tag|Gestalt + psychologie + Gestaltpsychologie + sehen + wahrnehmung + rezeption + aufmerksamkeit + komposition + visuell + blick + filter 
significance|primary
quote|Ich stehe am Fenster und sehe ein Haus, Bäume, Himmel. [...] In dem bestimmten Zusammen, der bestimmtem Getrenntheit sehe ich es; und in welcher Art des Zusammen, der Getrenntheit ich es sehe, das steht nicht einfach in meinem Belieben: ich kann durchaus nicht etwa nach Belieben jede irgend andere gewünschte Art der Zusammengefaßtheit einfach realisieren.
dateAdded|20180628_1051
