author|Eco, Umberto
translator|
title|Umrisse einer zusammenfassenden Zeichentheorie
editor|
in|Zeichen
location|
publisher|
year|1977
pages|167
tag|signal + zeichen + kanal + sender + empfänger + reiz + reaktion + anwesenheit + abwesenheit + informationsquelle + kommunikationsprozess
significance|primary
quote|Bei jedem elementaren Kommunikationsprozess zwischen zwei Apparaten wählt ein Sender aus einer Informationsquelle Signale aus, die ein Sendegerät so über einen Kanal überträgt, daß ein Empfangsgerät sie empfangen und nach dem Schema Reiz-Reaktion beantworten kann. Die vom Signal transportierte Information besteht in der Anwesenheit oder Abwesenheit des Signals selbst.
dateAdded|20180605_0000
