author|Marcq, Philippe
translator|
title|
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|14
tag|relation + bewegung + stellung + system + bezug + gegenstand + okkurenz + grenze + opposition + anwesenheit + präsenz + abwesenheit + sprache + präposition + spatial
significance|primary
quote|"Die fünf Systeme sind: 1) Das System [...] mit zwei Teilnehmern, dass ausschließlich nach dem Prinzip der Relativität in Stellung und Bewegung aufgebaut ist. In diesem System spielen die drei Achsen, nach welchen man sich im euklidischen system orienitert, absolut keine Rolle. Jeder Teilnehmer ist dem anderen der Bezugsgegenstand. 2) Das System [...] der Einteilung des Raums in Bezug auf einen Bezugsgegenstand. [...] 3) Das System der Ko-Okkurenz 4) Ein kleines System der Lokalisierung in Bezug auf eine Grenze 5) Ein winziges, alle spatialen Determinationen neutralisierendes System mit einer einzigen Opposition: ""Ko-Präsenz - Abwesenheit"""
dateAdded|20180602_0000
