author|Eco, Umberto
translator|
title|4.3.1 Zeichengesetze und Denkgesetze
editor|
in|Zeichen
location|
publisher|
year|1973
pages|125
tag|sprache + wahrnehmung + denken + kultur 
significance|primarz
quote|Sogar die Auffassung der Beziehungen zwischen Raum und Zeit oder Ursache und Wirkung je nach den syntaktischen Strukturen der gesprochenen Sprache [ist] von Volk zu Volk verschieden [...]. Die Art, wie wir sehen, wie wir in Einheiten unterteilen, wie wir die physische Wirklichkeit als System von Beziehungen begreifen, wird determiniert von den [...] Gesetzen der Sprache, mit der wir gelernt haben zu denken - in diesem Fall ist also die Sprache nicht das, mittels dessen man denkt, sondern das, wodurch man denkt, oder gar das, was uns denkt bzw. von dem wir gedacht werden. [Sapir-Whorf-Hypothese, Worf, 1956]
dateAdded|20180604_0000
