author|Eco, Umberto
translator|
title|Semiose und Bezugnahme
editor|
in|Zeichen
location|
publisher|
year|1973
pages|174
tag|synekdoche + tropus + unbestimmt + bezugnahme + rhetorik 
significance|primary
quote|"/Alle meine Freunde sind Architekten/ [...] Abgesehen von der Schwierigkeit der Nachprüfung und damit der Unbestimmtheit der tatsächlichen Bezugnahme ist hier klar, daß /alle/ ein rhetorischer Ausdruck und damit eine Synekdoche ist, die einen Teil fürs ganze nennt (gemeint ist ""ein großer Teil meiner Freunde"")."
dateAdded|20180608_1204
