author|duden
translator|
title|
editor|
in|
location|
publisher|
year|
pages|
tag|taxonomie + klassifizierung + nomenklatur + klasse + struktur + einordnung + sortierung + katalog + linguistik + biologie + zoologie + segmentierung + sprache + einheit + aufbau + system + beschreibung 
quote|1. (Botanik, Zoologie) Zweig der Systematik, der sich mit der Einordnung der Lebewesen in systematische Kategorien befasst 2. (Sprachwissenschaft) Teilgebiet der Linguistik, auf dem man durch Segmentierung und  Klassifikation sprachlicher Einheiten den Aufbau eines Sprachsystems beschreiben will 3. Einordnung in ein bestimmtes System
dateAdded|20181102_1335
