author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|301
tag|gesicht + wange + helligkeiten + sehen + teilung + wahrnehmung + theorie + gestalt + papuer + zusammen + getrennt + kontinuität + diskontinuität + korrelation + einheit + entität + intellektuell + leistung + addition + relation
significance|
quote|"Die zwei Gesichter Wange an Wange. Ich sehe das eine (mit seinen, wenn man so will, ""57"" Helligkeiten) und das andere (mit seinen ""49""); nicht aber in der Teilung 66 plus 40 oder 6 plus 100. Theorien, die etwa fordern würden, daß ich da ""106"" sehe, stehen nur auf dem Papier; zwei Gesichter sehe ich."
dateAdded|20180702_1901
