author|Jörg H. Gleiter
translator|
title|Die Präsenz der Zeichen: Vorüberlegungen zu einer phänomenologischen Architektursemiotik
editor|
in|Zeitschrift für Semiotik
location|
publisher|
year|2014
pages|27-28
tag|zeichen + architektur + semiotik + sprache + charakter + zusammensetzung + erkenntnis + phänomenologie + performanz + aspekt + transformation + triplizität + versuch + scheitern + dual + modell + signifikant + signifikat + präsenz + absenz + anwesenheit + abwesenheit + langue + parole + synchronität + diachronität + strukturalismus + orientierung
quote|Architektonische Zeichen setzen sich aus bildhaften, phänomenologischen und performativen Zeichenaspekten zusammen und sind charakterisiert durch eine doppelte Transformation ihres Zeichencharakters. [...] Es ist diese erkenntnistheoretische Triplizität der architektonischen  Zeichen, die alle Versuche scheitern lassen, den Zeichencharakter der Architektur am dualen Modell Signifikat und Signifikant, Präsenz und Absenz, langue und parole, Synchronität und Diachronität und damit am strukturalistischen Modell der Sprache zu orientieren.
dateAdded|20180807_1004
